name,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,Agriculture 2016,Land-use change and forestry 2016,Waste 2016,Industry 2016,Manufacturing and construction 2016,Transport 2016,Electricity and heat 2016,Buildings 2016,Fugitive emissions 2016,Other fuel combustion 2016,Aviation and shipping 2016,Agriculture 2016 2017,Land-use change and forestry 2016 2017,Waste 2016 2017,Industry 2016 2017,Manufacturing and construction 2016 2017,Transport 2016 2017,Electricity and heat 2016 2017,Buildings 2016 2017,Fugitive emissions 2016 2017,Other fuel combustion 2016 2017,Aviation and shipping 2016 2017,Agriculture 2016 2017 2018,Land-use change and forestry 2016 2017 2018,Waste 2016 2017 2018,Industry 2016 2017 2018,Manufacturing and construction 2016 2017 2018,Transport 2016 2017 2018,Electricity and heat 2016 2017 2018,Buildings 2016 2017 2018,Fugitive emissions 2016 2017 2018,Other fuel combustion 2016 2017 2018,Aviation and shipping 2016 2017 2018,,
Dominican Republic,Caribbean,North and Central America,country,19.0974031,-70.3028026,39060,2018,10627147,3.68,0.13,0.43,0.29,0,0,0.12,0,0.01,0.02,0.01,0,8870000,-1560000,2610000,3060000,3190000,6630000,10950000,1560000,120000,800000,1550000,9030000,-1560000,2640000,3160000,3200000,6510000,10030000,1540000,110000,780000,1680000,9220000,-1560000,2680000,3260000,3120000,7170000,11140000,1560000,110000,800000,1700000,,
Algeria,North Africa,Africa,country,28.0000272,2.9999825,218910,2018,42228415,5.18,0,0,0.99,0,0,0,0,0.01,0,0,0,12430000,240000,13940000,16810000,10880000,45190000,47860000,21290000,37240000,4150000,2090000,12290000,480000,14210000,17090000,12020000,44690000,48090000,22400000,36220000,4850000,2070000,12320000,200000,14480000,17370000,12730000,45460000,48560000,26340000,35930000,5730000,2070000,,
Ecuador,South America (region),South America (continent),country,-1.3397668,-79.3666965,65680,2018,17084359,3.84,0,0.2,0.1,0,0,0.69,0,0,0,0.02,0,12740000,26160000,11650000,2940000,2210000,17100000,9340000,3570000,1300000,4170000,1780000,12780000,26150000,11840000,3000000,2100000,18200000,6900000,3610000,1210000,4420000,1980000,12390000,26160000,12030000,3060000,2360000,18490000,7440000,3740000,1120000,5040000,3020000,,
Egypt,North Africa,Africa,country,26.2540493,29.2675469,329220,2018,98423602,3.34,0,0.13,0.78,0,0,0.07,0,0,0.01,0,0,31230000,180000,26840000,30240000,34620000,57400000,99180000,16690000,14530000,5060000,1560000,30200000,180000,27400000,29820000,35260000,55710000,106140000,16780000,14110000,4940000,2330000,30580000,180000,27970000,30920000,41120000,53880000,108870000,17030000,14070000,4780000,2610000,,
Eritrea,Sub-Saharan Africa,Africa,country,15.9500319,37.9999668,7480,2018,0,#DIV/0!,0,1,0,0,0,0,0,0,0,0,0,4590000,450000,590000,130000,20000,190000,310000,70000,0,1360000,30000,4580000,450000,600000,140000,20000,230000,330000,70000,0,1380000,30000,4610000,450000,620000,140000,20000,240000,390000,70000,0,1400000,30000,,
Spain,Western Europe,Europe,country,39.3260685,-4.8379791,326940,2018,46797754,6.99,0.17,0.06,0.23,0,0.21,0.07,0,0.03,0.18,0.05,0,40250000,-13860000,13020000,19790000,28450000,88300000,86510000,27850000,1370000,10300000,36170000,40840000,-13820000,13060000,19140000,32020000,91160000,98660000,25250000,1370000,10680000,34630000,41360000,-13880000,13100000,18450000,33620000,92310000,89940000,25460000,1370000,11330000,36220000,,
Estonia,Central Europe and Baltics,Europe,country,58.7523778,25.3319078,18610,2018,1321977,14.08,0.06,0.01,0,0.78,0,0,0,0,0.06,0.09,0,1810000,1940000,270000,430000,630000,2350000,11710000,450000,20000,620000,1000000,1850000,1930000,260000,530000,620000,2430000,12170000,430000,20000,610000,1170000,1840000,1950000,250000,520000,660000,2460000,11820000,430000,20000,610000,1140000,,
Ethiopia,Sub-Saharan Africa,Africa,country,10.2116702,38.6521203,172230,2018,109224410,1.58,0,0,0,0,0,0.93,0,0.01,0.06,0,0,109990000,32730000,4720000,3770000,4280000,5740000,0,750000,0,37950000,1880000,112290000,32730000,4810000,3820000,4260000,6430000,0,480000,0,38530000,2170000,112450000,32440000,4900000,3880000,4550000,6870000,0,500000,0,39080000,2320000,,
Finland,Nordic Countries,Europe,country,63.2467777,25.9209164,54490,2018,5515525,9.88,0.1,0,0.05,0.04,0.33,0.22,0,0,0.07,0.18,0.01,6000000,6620000,2020000,2220000,7380000,11910000,21720000,2160000,30000,2810000,2820000,5930000,6700000,1950000,2170000,7290000,11310000,19840000,2070000,30000,2730000,3150000,5920000,6940000,1880000,2070000,7580000,11510000,20910000,1960000,30000,2620000,3350000,,
Fiji,Oceania (region),Oceania (continent),country,-18.1239696,179.0122737,2820,2018,883490,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350000,-2540000,130000,160000,280000,920000,330000,120000,0,330000,430000,380000,-2540000,130000,160000,280000,940000,380000,110000,0,350000,460000,370000,-2540000,130000,170000,290000,990000,400000,120000,0,360000,480000,,
France,Western Europe,Europe,country,46.603354,1.8883335,423350,2018,67101930,6.31,0.03,0.01,0.07,0,0.72,0.09,0,0.02,0.04,0.02,0,74780000,-61980000,14960000,27270000,43480000,127700000,54920000,68120000,1300000,17480000,21460000,74980000,-61920000,14870000,25740000,42470000,128140000,59590000,67980000,1300000,17310000,22170000,73830000,-61980000,14780000,24350000,40080000,125420000,61750000,64420000,1310000,17400000,23310000,,
"Micronesia, Fed. Sts.",Oceania (region),Oceania (continent),country,NA,NA,260,2017,111461,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,-30000,10000,0,0,100000,70000,0,0,10000,40000,60000,-30000,10000,0,0,100000,70000,0,0,10000,40000,70000,-30000,10000,0,0,100000,80000,0,0,10000,40000,,
Gabon,Sub-Saharan Africa,Africa,country,-0.8999695,11.6899699,7460,2018,2119275,3.52,0,0.09,0.51,0,0,0.39,0,0,0,0,0,560000,6490000,700000,1170000,1230000,850000,1010000,320000,2350000,180000,790000,610000,6510000,710000,1280000,490000,200000,1600000,210000,2280000,140000,510000,510000,6500000,730000,1390000,500000,210000,1610000,210000,2170000,140000,530000,,
United Kingdom,Western Europe,Europe,country,54.7023545,-3.2765753,452080,2018,66460344,6.8,0.07,0,0.41,0,0.21,0.02,0,0.03,0.15,0.11,0,50700000,-10960000,18160000,21520000,32070000,121630000,125940000,86600000,7440000,11180000,40800000,50700000,-10960000,17780000,20260000,32980000,122090000,114600000,84050000,7450000,11290000,41900000,50700000,-10960000,17390000,19140000,31960000,120660000,106640000,87010000,7420000,11160000,42800000,,
Georgia,"Eastern Europe, Balkans, Caucasus",Europe,country,32.3293809,-83.1137366,16900,2018,3726549,4.54,0,0,0.19,0,0,0.8,0,0,0.01,0,0,2350000,0,3210000,1810000,1540000,4290000,1060000,1990000,970000,160000,220000,2210000,0,3210000,1810000,1700000,3870000,1100000,2210000,930000,160000,290000,2130000,0,3200000,1800000,1790000,3760000,1010000,2160000,900000,150000,320000,,
Ghana,Sub-Saharan Africa,Africa,country,8.0300284,-1.0800271,44500,2018,29767108,1.49,0,0,0.46,0.14,0,0.4,0,0,0,0,0,9950000,-24850000,3470000,2070000,1680000,7300000,2860000,740000,5640000,7560000,410000,10210000,-24900000,3560000,2170000,2040000,7090000,2730000,930000,6390000,7820000,520000,9730000,-24890000,3640000,2280000,2310000,8060000,2940000,1030000,6640000,7880000,630000,,
Gibraltar,Western Europe,Europe,country,36.140807,-5.3541295,101,1980,30068,3.37,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Guinea,Sub-Saharan Africa,Africa,country,10.7226226,-10.7083587,28890,2018,12414292,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19830000,12360000,1970000,1110000,600000,1260000,910000,60000,0,2870000,80000,19680000,12300000,2030000,1230000,650000,1270000,1000000,60000,0,2900000,80000,19400000,12280000,2090000,1340000,680000,1330000,1050000,60000,0,2940000,90000,,
The Gambia,Sub-Saharan Africa,Africa,country,13.470062,-15.4900464,2790,2018,2280092,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260000,530000,350000,100000,140000,80000,230000,0,0,500000,50000,1270000,530000,360000,110000,140000,80000,230000,0,0,510000,50000,1290000,530000,380000,120000,150000,90000,250000,0,0,520000,50000,,
Guinea-Bissau,Sub-Saharan Africa,Africa,country,12.100035,-14.9000214,2800,2018,1874304,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1870000,1720000,100000,130000,0,100000,30000,30000,0,380000,40000,1940000,1650000,110000,150000,0,100000,30000,30000,0,380000,40000,1970000,1640000,110000,160000,0,110000,30000,30000,0,400000,40000,,
Equatorial Guinea,Sub-Saharan Africa,Africa,country,1.613172,10.5170357,19270,2018,1308966,14.72,0,0,0.68,0,0,0.32,0,0,0,0,0,20000,3830000,210000,270000,2220000,1030000,940000,230000,14070000,150000,190000,20000,3830000,220000,300000,2760000,980000,860000,220000,13200000,140000,190000,20000,3830000,230000,320000,3890000,930000,850000,210000,12690000,140000,190000,,
Greece,"Eastern Europe, Balkans, Caucasus",Europe,country,38.9953683,21.9877132,84750,2018,10732882,7.9,0.34,0.1,0.31,0,0,0.07,0,0.07,0.1,0.01,0,7640000,1420000,4540000,10170000,6480000,17160000,33060000,5540000,820000,1500000,8160000,7730000,1400000,4560000,9630000,5270000,16880000,34720000,5400000,830000,1500000,9820000,7880000,1390000,4590000,9190000,5080000,17170000,33860000,4650000,840000,1490000,10300000,,
Grenada,Caribbean,North and Central America,country,12.1360374,-61.6904045,2360,2018,111449,21.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,0,2000000,10000,0,100000,140000,40000,0,0,20000,20000,0,2010000,10000,0,100000,150000,40000,0,0,20000,20000,0,2020000,20000,0,110000,160000,40000,0,0,30000,,
Guatemala,Central America,North and Central America,country,15.6871007,-90.12265453,35400,2018,16346950,2.17,0.26,0.03,0,0,0,0.45,0.02,0.02,0.02,0.19,0,9940000,3470000,1860000,1730000,2040000,7890000,5210000,970000,10000,4670000,1460000,10090000,3440000,1900000,1770000,1950000,8150000,4120000,940000,10000,4660000,1610000,10150000,3290000,1940000,1800000,1950000,8510000,5420000,980000,10000,4650000,1620000,,
Guam,Oceania (region),Oceania (continent),country,13.4501257,144.757551,60,1989,127525,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Guyana,South America (region),South America (continent),country,4.8417097,-58.6416891,5040,2018,779007,6.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2080000,14120000,160000,70000,600000,760000,840000,110000,0,100000,60000,2180000,14080000,160000,80000,590000,760000,860000,110000,0,100000,70000,2250000,14090000,160000,90000,620000,780000,930000,110000,0,100000,60000,,
Hong Kong,East Asia,Asia,country,22.2793278,114.1628131,36449,1989,5686200,6.41,0.63,0.01,0.36,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Honduras,Central America,North and Central America,country,15.2572432,-86.0755145,22400,2018,9587523,2.34,0.06,0.36,0,0,0,0.33,0.01,0.1,0.06,0.08,0,6890000,5870000,2820000,1740000,1430000,4020000,2830000,320000,20000,1440000,270000,6950000,5630000,2870000,1830000,1230000,3920000,2570000,550000,20000,1360000,410000,7140000,5740000,2920000,1920000,1130000,4100000,3000000,630000,20000,1530000,390000,,
Croatia,"Eastern Europe, Balkans, Caucasus",Europe,country,45.5643442,17.0118954,22550,2018,4087843,5.52,0.12,0.02,0.26,0,0,0.45,0,0.01,0.1,0.04,0,2570000,-4340000,1830000,1670000,2180000,6070000,4830000,2130000,200000,1250000,380000,2710000,-4340000,1850000,1850000,2360000,6530000,4490000,2170000,200000,1240000,450000,2790000,-4340000,1860000,1820000,2370000,6300000,3880000,2080000,200000,1250000,610000,,
Haiti,Caribbean,North and Central America,country,19.1399952,-72.3570972,9930,2018,11123183,0.89,0,0.88,0,0,0,0.12,0,0,0,0,0,4440000,630000,1420000,340000,600000,1420000,1000000,270000,0,400000,70000,4440000,630000,1450000,360000,610000,1440000,930000,270000,0,400000,70000,4460000,630000,1470000,390000,620000,1460000,860000,270000,0,400000,70000,,
Hungary,Central Europe and Baltics,Europe,country,47.1817585,19.5060937,60920,2018,9775564,6.23,0.16,0,0.24,0,0.49,0.01,0,0.01,0.02,0.07,0,7400000,1900000,3360000,2700000,5860000,12190000,13890000,10270000,710000,2570000,570000,7430000,1900000,3310000,2660000,6490000,12840000,14350000,10630000,710000,2460000,660000,7790000,1890000,3260000,2540000,6810000,13580000,13690000,9980000,720000,2540000,820000,,
Indonesia,Southeast Asia,Asia,country,-2.4833826,117.8902853,969580,2018,267670549,3.62,0.58,0.08,0.22,0,0,0.07,0.05,0,0,0,0,190770000,586870000,129470000,34580000,84220000,133640000,206450000,23100000,32850000,31290000,5310000,196080000,553630000,131650000,36190000,99550000,141680000,218730000,24970000,30940000,32650000,5660000,200240000,734280000,133840000,37340000,114440000,154010000,243360000,25120000,29930000,31310000,5770000,,
India,South Asia,Asia,country,22.3511148,78.6677428,3374990,2018,1352642283,2.5,0.74,0.02,0.05,0,0.03,0.09,0,0.02,0.03,0.03,0,703630000,-29860000,80980000,130610000,525100000,269400000,1097810000,111860000,55280000,128450000,16370000,709500000,-27100000,82070000,130520000,558990000,291230000,1157770000,113750000,54940000,131140000,17110000,718700000,-28360000,83170000,148540000,571380000,305330000,1241340000,118840000,54410000,133280000,18530000,,
Ireland,Western Europe,Europe,country,52.865196,-7.9794599,65090,2018,4867316,13.37,0.12,0,0.51,0.07,0,0.02,0,0,0.24,0.03,0,24370000,-2790000,910000,3100000,3930000,11940000,12860000,7640000,40000,1090000,3020000,25000000,-2790000,910000,3060000,3970000,11670000,12010000,7480000,40000,1120000,3450000,25350000,-2790000,910000,2980000,4150000,11870000,10570000,8060000,40000,1160000,3700000,,
Iran,Middle East,Asia,country,32.6475314,54.5643516,828280,2018,81800204,10.13,0,0.09,0.84,0,0.02,0.05,0,0,0,0,0,33350000,60000,45420000,30720000,91870000,130240000,190740000,132790000,122440000,18390000,8520000,32390000,60000,46040000,31430000,96770000,134830000,201580000,124610000,127680000,19400000,6500000,32740000,60000,46650000,32140000,98950000,139230000,201290000,127410000,129850000,20030000,6430000,,
Iraq,Middle East,Asia,country,33.0955793,44.1749775,215690,2018,38433604,5.61,0,0.29,0.37,0.33,0,0.02,0,0,0,0,0,6570000,500000,10660000,9390000,8790000,25260000,96300000,8050000,30500000,1770000,2990000,7230000,500000,10990000,9910000,9400000,28750000,92330000,8980000,31410000,1800000,2930000,7390000,500000,11320000,10430000,11010000,33650000,99550000,9100000,31410000,1840000,2880000,,
Iceland,Nordic Countries,Europe,country,64.9841821,-18.1059013,3440,2018,352721,9.75,0,0,0,0,0,0.73,0.27,0,0,0,0,650000,-80000,230000,290000,560000,930000,10000,10000,0,630000,1080000,660000,-80000,220000,300000,570000,1000000,10000,10000,0,640000,1310000,650000,-80000,220000,310000,600000,1020000,0,10000,0,630000,1490000,,
Israel,Middle East,Asia,country,31.5313113,34.8667654,87830,2018,8882800,9.89,0.33,0.01,0.63,0,0,NA,0,0.02,0,0,0,1530000,80000,8020000,13340000,3910000,17490000,39830000,690000,3340000,1270000,3390000,1570000,80000,8180000,13990000,4780000,17880000,39240000,700000,3380000,1340000,4010000,1600000,80000,8340000,14640000,4200000,18040000,35650000,670000,3380000,1310000,4380000,,
Italy,Central Europe and Baltics,Europe,country,42.6384261,12.674297,399600,2018,60421760,6.61,0.12,0.04,0.48,0,0,0.12,0.02,0.08,0.06,0.07,0,32440000,-12810000,17470000,23680000,34650000,101710000,118190000,63650000,4790000,14870000,16990000,32350000,-12760000,17230000,22610000,31920000,97610000,121190000,63460000,4710000,14680000,17650000,31970000,-12810000,16990000,21510000,32260000,100200000,113380000,63580000,4630000,15080000,20230000,,
Jamaica,Caribbean,North and Central America,country,18.1850507,-77.3947693,9230,2016,2906242,3.18,0,0.74,0.09,0,0,0.04,0,0.01,0.07,0.06,0,590000,180000,530000,670000,2310000,1870000,2810000,330000,0,130000,1400000,580000,180000,530000,650000,1880000,2010000,2570000,350000,0,130000,1480000,560000,180000,540000,630000,2920000,2310000,2550000,370000,0,130000,1590000,,
Jordan,Middle East,Asia,country,31.1667049,36.941628,35810,2018,9965322,3.59,0,0.13,0.8,0,0,0,0,0.04,0.02,0,0,1320000,0,5250000,4870000,2160000,8300000,10230000,1920000,260000,770000,1290000,1230000,0,5410000,5230000,1640000,9120000,10500000,2420000,260000,930000,1590000,1190000,0,5570000,5580000,1620000,9010000,9530000,2020000,260000,1040000,1250000,,
Japan,East Asia,Asia,country,36.5748441,139.2394179,1186770,2018,126529100,9.38,0.33,0.06,0.38,0.01,0.03,0.08,0,0.05,0.01,0.04,0.02,21510000,-32050000,7040000,73750000,197980000,208900000,608590000,111560000,2300000,26100000,34860000,21500000,-32050000,6920000,71590000,196800000,207070000,589350000,115440000,2300000,24400000,34900000,21560000,-32050000,6800000,67970000,191680000,204560000,561860000,106110000,2300000,23920000,36250000,,
Kazakhstan,Central Asia,Asia,country,47.2286086,65.2093197,274220,2018,18276452,15,0.69,0.01,0.19,0,0,0.11,0,0,0,0,0,23070000,-2980000,5450000,4800000,42160000,15910000,125000000,31220000,22480000,4430000,1410000,29650000,-2980000,5520000,5040000,42350000,15330000,123880000,34960000,22130000,4740000,1510000,25440000,-2980000,5580000,5110000,36780000,17410000,120810000,36840000,21590000,4650000,1900000,,
Kenya,Sub-Saharan Africa,Africa,country,1.4419683,38.4313975,78830,2018,51392570,1.53,0,0.2,0,0,0,0.31,0.47,0,0,0.01,0,45760000,-7620000,1280000,4010000,4120000,8910000,1840000,1230000,20000,12390000,2110000,42490000,-7620000,1310000,4160000,4040000,8690000,1900000,1490000,20000,12640000,2220000,44700000,-7620000,1350000,4320000,3190000,9290000,1900000,1230000,20000,12840000,2300000,,
Kyrgyzstan,Central Asia,Asia,country,41.5089324,74.724091,18120,2018,6322800,2.87,0.07,0,0.01,0,0,0.92,0,0,0,0,0,5110000,-3270000,770000,670000,900000,3320000,1830000,2760000,230000,930000,320000,5190000,-3270000,770000,660000,860000,1860000,1500000,4580000,230000,580000,60000,5430000,-3270000,780000,650000,1190000,1520000,1580000,6110000,230000,640000,20000,,
Cambodia,Southeast Asia,Asia,country,13.5066394,104.869423,37460,2018,16249795,2.31,0.56,0.04,0,0,0,0.39,0,0,0,0.01,0,20900000,33340000,540000,1200000,670000,5010000,2990000,480000,0,3620000,260000,21670000,32970000,550000,1320000,660000,5270000,4140000,560000,0,3670000,330000,21310000,31690000,560000,1450000,720000,5770000,3300000,610000,0,3750000,360000,,
Kiribati,Oceania (region),Oceania (continent),country,0.3448612,173.6641773,90,2008,98760,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,0,20000,0,0,30000,30000,10000,0,10000,0,10000,0,20000,0,0,30000,30000,10000,0,10000,0,10000,0,20000,0,0,30000,30000,10000,0,10000,0,,
St. Kitts and Nevis,Caribbean,North and Central America,country,17.250512,-62.6725973,370,2018,52438,7.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,0,80000,10000,0,80000,160000,10000,0,10000,20000,10000,0,80000,10000,0,80000,150000,10000,0,10000,20000,10000,0,80000,10000,10000,80000,160000,10000,0,10000,20000,,
South Korea,East Asia,Asia,country,36.638392,127.6961188,718880,2018,51606633,13.93,0.45,0.02,0.22,0,0.26,0.01,0,0.01,0,0.01,0,13970000,-45800000,10010000,72450000,73000000,101310000,356660000,51340000,5200000,12970000,48780000,13980000,-45800000,9820000,75140000,71830000,103470000,365160000,51900000,5200000,13840000,47980000,14180000,-45800000,9620000,77850000,71970000,101660000,373700000,51090000,5210000,13600000,46670000,,
Kuwait,Middle East,Asia,country,29.2733964,47.4979476,112970,2018,4137314,27.31,0,0.66,0.34,0,0,0,0,0,0,0,0,490000,0,2280000,14780000,11680000,14210000,61400000,800000,3900000,310000,5780000,510000,0,2360000,16430000,12500000,15020000,59640000,890000,3790000,320000,5930000,520000,0,2440000,18090000,10620000,15870000,60380000,930000,3810000,330000,5920000,,
Laos,Southeast Asia,Asia,country,20.0171109,103.378253,29270,2018,7061498,4.15,0.35,0,0,0,0,0.65,0,0,0,0,0,9940000,11250000,210000,1050000,530000,2990000,10870000,20000,10000,550000,120000,9810000,9560000,210000,1070000,560000,3040000,13920000,40000,10000,550000,110000,9580000,9360000,210000,1090000,630000,3120000,14040000,40000,10000,550000,170000,,
Lebanon,Middle East,Asia,country,33.8750629,35.843409,33790,2016,6714281,5.03,0,0.98,0,0,0,0.02,0,0,0,0,0,800000,-80000,2930000,4490000,1080000,8860000,14670000,710000,0,250000,780000,820000,-80000,3000000,4740000,1150000,9330000,15670000,700000,0,190000,860000,800000,-80000,3070000,5000000,1160000,8110000,15340000,680000,0,180000,840000,,
Liberia,Sub-Saharan Africa,Africa,country,5.7499721,-9.3658524,9200,2018,4818976,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530000,13500000,120000,330000,110000,870000,310000,0,0,6800000,50000,500000,13500000,130000,360000,100000,760000,280000,0,0,6890000,40000,500000,13460000,130000,380000,100000,800000,300000,0,0,6990000,40000,,
Libya,North Africa,Africa,country,26.8234472,18.1236723,103040,2018,6678565,15.43,0,0.38,0.62,0,0,0,0,0,0,0,0,2920000,0,1620000,4090000,3940000,18280000,20440000,1190000,33270000,870000,430000,2940000,0,1650000,4450000,4630000,17240000,21840000,1240000,41700000,880000,860000,2970000,0,1670000,4820000,5030000,16770000,22660000,1180000,47050000,900000,1050000,,
St. Lucia,Caribbean,North and Central America,country,13.8250489,-60.975036,740,2018,181890,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,-150000,260000,40000,0,70000,250000,30000,0,0,20000,40000,-150000,260000,40000,0,90000,260000,30000,0,0,20000,40000,-150000,260000,40000,0,90000,270000,30000,0,0,20000,,
Liechtenstein,Central Europe and Baltics,Europe,country,47.1416307,9.5531527,260,1998,32306,8.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,0,0,10000,0,0,0,0,0,0,0,20000,0,0,10000,0,0,0,0,0,0,0,20000,0,0,10000,0,0,0,0,0,0,0,,
